"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"300",33500," Gasoline",1199,155,240,8.2,6.2,120,710,118,"NO","YES","YES","YES"
"301",25900," Diesel",1499,100,250,11.4,4.5,97,978,87,"YES","NO","YES","YES"
"302",26900," Diesel",1499,100,250,11.4,4.5,97,978,87,"NO","YES","YES","YES"
"303",27999," Gasoline",1199,130,230,10.2,5.3,121,1170,145,"YES","NO","YES","YES"
"304",31480," Gasoline",1199,130,230,10.2,5.3,121,1170,145,"NO","YES","YES","YES"
"305",34600," Gasoline",1199,130,230,10.2,5.3,121,1170,145,"NO","YES","YES","YES"
"306",32100," Diesel",1499,130,300,10.8,4.5,104,1378,102,"YES","NO","YES","YES"
"307",33600," Diesel",1499,130,300,10.8,4.5,104,1378,102,"NO","YES","YES","YES"
"309",36300," Diesel",1499,130,300,10.8,4.5,104,1378,102,"NO","YES","YES","YES"
"311",36865," Gasoline",1598,180,250,8.9,7.4,132,838,158,"NO","YES","YES","YES"
"312",43650," Gasoline",1598,180,250,8.9,7.4,132,838,158,"NO","YES","YES","YES"
"313",44700," Gasoline",1598,225,300,8.2,7.4,134,838,161,"NO","YES","YES","YES"
"314",53890," Hybrid-Plug-in",1598,300,520,5.9,1.3,31,3308,0,"NO","YES","YES","YES"
"315",54890," Hybrid-Plug-in",1598,300,520,5.9,1.3,31,3308,0,"NO","YES","YES","YES"
"316",55650," Hybrid-Plug-in",1598,300,520,5.9,1.3,31,3308,0,"NO","YES","YES","YES"
"317",45225," Diesel",1997,180,400,9.4,5.6,128,1107,154,"NO","YES","YES","YES"
"323",13700," Gasoline",1242,69,102,12.9,5.1,119,686,117,"YES","NO","NO","NO"
"325",14500," Gasoline",1242,69,102,12.9,5.1,119,686,117,"YES","NO","NO","NO"
"328",15500," Gasoline",1242,69,102,12.9,5.1,119,686,117,"YES","NO","NO","YES"
"330",16500," Gasoline",1242,69,102,12.9,5.1,119,686,117,"YES","NO","NO","YES"
"333",16300," Gasoline",1248,69,102,13.4,5.1,119,686,117,"YES","NO","NO","YES"
"334",17300," Diesel",1248,85,200,14.9,4.2,110,1071,108,"NO","YES","YES","YES"
"336",20750," Diesel",1598,120,320,10.7,4,112,1125,110,"NO","YES","YES","YES"
"337",16990," Gasoline",999,120,190,10.9,5.8,133,828,160,"YES","NO","YES","NO"
"338",21000," Gasoline",999,120,190,10.9,5.8,133,828,160,"NO","YES","YES","YES"
"339",22000," Gasoline",1332,150,270,9.1,6.1,140,787,168,"NO","YES","YES","YES"
"340",22000," Diesel",1598,120,320,10.7,4.7,122,1021,146,"NO","YES","YES","YES"
"341",22000," Diesel",1598,120,320,10.7,4.7,122,1021,146,"NO","YES","YES","YES"
